,Date,Time,Signal(dBm),Noise(dBm),Channel,Mode,SSID,BSSID,Frequency (GHz)
10286,5/10/2023 13:41:57,1696513317,-64,-96,132, ac,[Hidden SSID] ,A8-9D-21-71-D4-EA,
10339,5/10/2023 13:41:57,1696513317,-90,-93,132, ac,uniwide ,08-CC-68-B5-D0-5E,
10342,5/10/2023 13:41:57,1696513317,-86,-92,36, ac,uniwide ,1C-E6-C7-3E-5A-86,
10456,5/10/2023 13:41:57,1696513317,-88,-92,149, ac,UNSW Guest ,08-CC-68-B4-81-2C,
10655,5/10/2023 13:41:57,1696513317,-85,-96,64, ac,[Hidden SSID] ,1C-E6-C7-5B-21-63,
10675,5/10/2023 13:41:57,1696513317,-90,-96,56, a/n,uniwide ,1C-E6-C7-F0-25-BE,
10716,5/10/2023 13:41:57,1696513317,-84,-94,132, ac,[Hidden SSID] ,00-35-1A-3E-32-3B,
10744,5/10/2023 13:41:57,1696513317,-91,-96,112, ac,Global_Students ,08-CC-68-CC-02-7B,
10754,5/10/2023 13:41:57,1696513317,-75,-97,52, ac,[Hidden SSID] ,D0-72-DC-04-B9-0D,
10802,5/10/2023 13:41:57,1696513317,-75,-97,161, ac,UNSW Guest ,1C-E6-C7-5B-22-04,
10882,5/10/2023 13:41:57,1696513317,-86,-93,52, ac,uniwide ,A8-9D-21-85-19-EA,
10969,5/10/2023 13:41:57,1696513317,-93,-92,100, ac,[Hidden SSID] ,08-CC-68-B4-82-7B,
10990,5/10/2023 13:41:57,1696513317,-75,-95,52, ac,uniwide ,08-CC-68-B5-C1-6E,
11004,5/10/2023 13:41:57,1696513317,-91,-93,149, ac,[Hidden SSID] ,08-CC-68-B4-F3-BA,
11074,5/10/2023 13:41:57,1696513317,-89,-97,60, ac,eduroam ,08-CC-68-B4-7B-EE,
11086,5/10/2023 13:41:57,1696513317,-80,-92,36, ac,H13-3075-ClickShare ,E4-AA-EA-5D-DA-2B,
11095,5/10/2023 13:41:57,1696513317,-86,-96,64, ac,eduroam ,A8-9D-21-71-B2-5F,
11158,5/10/2023 13:41:57,1696513317,-90,-97,48, ac,UNSW Guest ,08-CC-68-B5-BD-FC,
11196,5/10/2023 13:41:57,1696513317,-94,-97,100, ac,[Hidden SSID] ,08-CC-68-B4-B8-5F,
11212,5/10/2023 13:41:57,1696513317,-94,-92,149, ac,eduroam ,1C-E6-C7-E0-1A-27,
11247,5/10/2023 13:41:57,1696513317,-84,-94,36, a/n,[Hidden SSID] ,1C-E6-C7-3E-5A-8A,
11278,5/10/2023 13:41:57,1696513317,-87,-97,60, ac,Global_Students ,08-CC-68-B5-ED-3B,
11290,5/10/2023 13:41:57,1696513317,-81,-94,40, ac,[Hidden SSID] ,54-78-1A-BF-63-D2,
11303,5/10/2023 13:41:57,1696513317,-85,-92,36, ac,uniwide ,08-CC-68-B5-C5-AE,
11402,5/10/2023 13:41:57,1696513317,-88,-92,149, ac,[Hidden SSID] ,18-F1-45-97-6E-9E,
11413,5/10/2023 13:41:57,1696513317,-91,-97,100, ac,[Hidden SSID] ,FC-5B-39-0D-53-AD,
11420,5/10/2023 13:41:57,1696513317,-90,-92,36, ac,[Hidden SSID] ,54-78-1A-BF-70-E2,
11492,5/10/2023 13:41:57,1696513317,-77,-97,60, a/n,uniwide ,1C-E6-C7-0D-5C-AE,
11576,5/10/2023 13:41:57,1696513317,-85,-97,60, ac,eduroam ,08-CC-68-B5-ED-3F,
11703,5/10/2023 13:41:57,1696513317,-80,-96,36, a/n,Global_Students ,1C-E6-C7-3E-5A-8D,
11706,5/10/2023 13:41:57,1696513317,-71,-97,161, a/n,[Hidden SSID] ,1C-E6-C7-5B-22-0B,
11722,5/10/2023 13:41:57,1696513317,-82,-92,149, a/n,eduroam ,1C-E6-C7-3E-17-AF,
11784,5/10/2023 13:41:57,1696513317,-80,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-30-9B,
11810,5/10/2023 13:41:57,1696513317,-92,-94,36, ac,Global_Students ,08-CC-68-B4-BB-2B,
11854,5/10/2023 13:41:57,1696513317,-89,-92,36, ac,[Hidden SSID] ,54-78-1A-BF-70-E3,
11925,5/10/2023 13:41:57,1696513317,-81,-94,40, ac,[Hidden SSID] ,54-78-1A-BF-63-D3,
11945,5/10/2023 13:41:57,1696513317,-89,-93,48, ac,Global_Students ,84-78-AC-98-48-45,
11962,5/10/2023 13:41:57,1696513317,-91,-96,100, ac,uniwide ,FC-5B-39-0D-53-AE,
12054,5/10/2023 13:41:57,1696513317,-86,-94,44, a/n,UNSW Guest ,1C-E6-C7-5B-21-7C,
12061,5/10/2023 13:41:57,1696513317,-84,-96,36, ac,[Hidden SSID] ,08-CC-68-B5-C5-AD,
12068,5/10/2023 13:41:57,1696513317,-86,-97,52, ac,[Hidden SSID] ,08-CC-68-B4-98-0B,
12140,5/10/2023 13:41:57,1696513317,-92,-92,149, ac,uniwide ,1C-E6-C7-E0-1A-26,
12235,5/10/2023 13:41:57,1696513317,-77,-97,60, a/n,[Hidden SSID] ,1C-E6-C7-0D-5C-AD,
12307,5/10/2023 13:41:57,1696513317,-87,-97,60, ac,Global_Students ,08-CC-68-B5-35-CB,
12489,5/10/2023 13:41:57,1696513317,-76,-93,52, ac,uniwide ,D0-72-DC-04-B9-0E,
12522,5/10/2023 13:41:57,1696513317,-86,-97,149, ac,DIRECT-RMDESKTOP-SA4H773msJT ,56-8D-5A-15-AB-12,
12529,5/10/2023 13:41:57,1696513317,-89,-96,36, ac,UNSW Guest ,40-CE-24-9C-96-0C,
12546,5/10/2023 13:41:57,1696513317,-87,-97,60, ac,eduroam ,08-CC-68-B5-35-CF,
12559,5/10/2023 13:41:57,1696513317,-87,-95,149, ac,Global_Students ,08-CC-68-B4-F3-BD,
12570,5/10/2023 13:41:57,1696513317,-92,-97,149, ac,[Hidden SSID] ,08-CC-68-B4-81-2B,
12714,5/10/2023 13:41:57,1696513317,-87,-94,44, ax,J17_AV_WAP ,94-A6-7E-9E-F0-61,
12715,5/10/2023 13:41:57,1696513317,-84,-96,64, ac,[Hidden SSID] ,1C-E6-C7-5B-21-62,
12725,5/10/2023 13:41:57,1696513317,-82,-92,52, ac,[Hidden SSID] ,08-CC-68-B5-C1-6D,
12750,5/10/2023 13:41:57,1696513317,-77,-93,48, a/n,eduroam ,84-78-AC-98-48-4F,
12791,5/10/2023 13:41:57,1696513317,-93,-93,108, ac,uniwide ,08-CC-68-B4-87-8E,
12812,5/10/2023 13:41:57,1696513317,-82,-93,132, ac,UNSW Guest ,00-35-1A-3E-32-3C,
12946,5/10/2023 13:41:57,1696513317,-86,-92,36, ac,eduroam ,1C-E6-C7-3E-5A-87,
12982,5/10/2023 13:41:57,1696513317,-92,-97,149, ac,Global_Students ,1C-E6-C7-3E-17-A5,
13001,5/10/2023 13:41:57,1696513317,-92,-93,149, a/n,[Hidden SSID] ,1C-E6-C7-E0-1A-2A,
13065,5/10/2023 13:41:57,1696513317,-78,-91,44, ac,UNSW Guest ,1C-E6-C7-5B-21-74,
13399,5/10/2023 13:41:57,1696513317,-72,-96,64, ac,Global_Students ,08-CC-68-B5-DB-9D,
13435,5/10/2023 13:41:57,1696513317,-88,-97,64, a/n,uniwide ,1C-E6-C7-5B-21-6E,
13471,5/10/2023 13:41:57,1696513317,-84,-93,52, ac,[Hidden SSID] ,08-CC-68-B5-CC-CA,
13501,5/10/2023 13:41:57,1696513317,-80,-93,48, ac,[Hidden SSID] ,08-CC-68-B5-BD-FB,
13508,5/10/2023 13:41:57,1696513317,-91,-95,100, ac,[Hidden SSID] ,08-CC-68-B4-AF-AB,
13528,5/10/2023 13:41:57,1696513317,-94,-92,104, ac,[Hidden SSID] ,D6-35-1D-1B-85-E9,
13770,5/10/2023 13:41:57,1696513317,-89,-96,132, ac,uniwide ,08-CC-68-B5-F4-6E,
13826,5/10/2023 13:41:57,1696513317,-90,-93,64, ac,uniwide ,08-CC-68-B4-63-8E,
14142,5/10/2023 13:41:57,1696513317,-87,-97,60, ac,[Hidden SSID] ,08-CC-68-B5-35-CA,
14165,5/10/2023 13:41:57,1696513317,-78,-97,60, ac,UNSW Guest ,1C-E6-C7-0D-5C-A4,
14247,5/10/2023 13:41:57,1696513317,-92,-97,149, ac,uniwide ,08-CC-68-B4-81-2E,
14392,5/10/2023 13:41:57,1696513317,-91,-93,149, ax,iPhone ,0E-C8-D7-F8-8C-A6,
14437,5/10/2023 13:41:57,1696513317,-86,-94,44, ac,[Hidden SSID] ,1C-E6-C7-5B-21-73,
14469,5/10/2023 13:41:57,1696513317,-94,-92,149, ac,Global_Students ,1C-E6-C7-E0-1A-25,
14500,5/10/2023 13:41:57,1696513317,-87,-95,132, ac,uniwide ,08-CC-68-B5-30-9E,
14518,5/10/2023 13:41:57,1696513317,-89,-97,149, a/n,[Hidden SSID] ,1C-E6-C7-3E-17-AA,
14596,5/10/2023 13:41:57,1696513317,-73,-97,161, a/n,uniwide ,1C-E6-C7-5B-22-0E,
14848,5/10/2023 13:41:57,1696513317,-81,-96,132, ac,uniwide ,08-CC-68-B5-C6-AE,
14858,5/10/2023 13:41:57,1696513317,-91,-94,149, ac,UNSW Guest ,1C-E6-C7-F0-1A-E4,
14902,5/10/2023 13:41:57,1696513317,-92,-93,112, ac,UNSW Guest ,08-CC-68-B5-F7-3C,
14935,5/10/2023 13:41:57,1696513317,-86,-97,52, ac,eduroam ,08-CC-68-B4-98-0E,
15013,5/10/2023 13:41:57,1696513317,-90,-97,48, ac,uniwide ,84-78-AC-98-48-46,
15203,5/10/2023 13:41:57,1696513317,-68,-91,40, ac,UNSW Guest ,54-78-1A-BF-63-D4,
15210,5/10/2023 13:41:57,1696513317,-89,-94,149, ac,Global_Students ,08-CC-68-B4-BD-9D,
15213,5/10/2023 13:41:57,1696513317,-90,-97,48, ac,uniwide ,08-CC-68-B5-BD-FE,
15218,5/10/2023 13:41:57,1696513317,-90,-97,64, a/n,[Hidden SSID] ,1C-E6-C7-5B-21-6B,
15228,5/10/2023 13:41:57,1696513317,-83,-96,36, ac,UNSW Guest ,54-78-1A-BF-70-E4,
15428,5/10/2023 13:41:57,1696513317,-79,-97,60, a/n,UNSW Guest ,1C-E6-C7-0D-5C-AC,
15678,5/10/2023 13:41:57,1696513317,-84,-92,36, ac,UNSW Guest ,08-CC-68-B5-C5-AC,
15731,5/10/2023 13:41:57,1696513317,-87,-93,64, ac,[Hidden SSID] ,08-CC-68-B4-63-8B,
15789,5/10/2023 13:41:57,1696513317,-88,-94,36, ac,[Hidden SSID] ,40-CE-24-9C-96-0D,
15846,5/10/2023 13:41:57,1696513317,-89,-97,48, a/n,[Hidden SSID] ,84-78-AC-98-48-4A,
15850,5/10/2023 13:41:57,1696513317,-91,-96,108, ac,[Hidden SSID] ,08-CC-68-B4-87-8B,
16241,5/10/2023 13:41:57,1696513317,-81,-92,52, ac,UNSW Guest ,08-CC-68-B5-C1-6C,
16312,5/10/2023 13:41:57,1696513317,-92,-97,149, ac,uniwide ,1C-E6-C7-3E-17-A6,
16406,5/10/2023 13:41:57,1696513317,-74,-97,161, ac,[Hidden SSID] ,1C-E6-C7-5B-22-02,
16443,5/10/2023 13:41:57,1696513317,-92,-97,149, ac,eduroam ,1C-E6-C7-3E-17-A7,
16459,5/10/2023 13:41:57,1696513317,-86,-92,36, ac,Global_Students ,1C-E6-C7-3E-5A-85,
16461,5/10/2023 13:41:57,1696513317,-74,-97,161, ac,[Hidden SSID] ,1C-E6-C7-5B-22-03,
16475,5/10/2023 13:41:57,1696513317,-77,-93,52, ac,UNSW Guest ,D0-72-DC-04-B9-0C,
16479,5/10/2023 13:41:57,1696513317,-86,-93,64, ac,eduroam ,08-CC-68-B4-BF-FF,
16529,5/10/2023 13:41:57,1696513317,-85,-92,36, ac,uniwide ,40-CE-24-9C-96-0E,
16553,5/10/2023 13:41:57,1696513317,-85,-96,64, ac,UNSW Guest ,1C-E6-C7-5B-21-64,
16591,5/10/2023 13:41:57,1696513317,-92,-93,48, a/n,Global_Students ,84-78-AC-98-48-4D,
16606,5/10/2023 13:41:57,1696513317,-74,-97,40, a/n,[Hidden SSID] ,54-78-1A-BF-63-DB,
16639,5/10/2023 13:41:57,1696513317,-67,-95,132, ac,eduroam ,A8-9D-21-71-D4-EF,
16656,5/10/2023 13:41:57,1696513317,-83,-96,36, ac,UNSW Guest ,1C-E6-C7-F0-21-34,
16913,5/10/2023 13:41:57,1696513317,-91,-94,36, ac,Global_Students ,08-CC-68-B5-F2-7D,
16974,5/10/2023 13:41:57,1696513317,-68,-95,132, ac,Global_Students ,A8-9D-21-71-D4-EB,
17002,5/10/2023 13:41:57,1696513317,-78,-97,60, ac,[Hidden SSID] ,1C-E6-C7-0D-5C-A5,
17295,5/10/2023 13:41:57,1696513317,-89,-97,149, ac,[Hidden SSID] ,08-CC-68-B4-BD-9A,
17306,5/10/2023 13:41:57,1696513317,-84,-92,64, ac,eduroam ,08-CC-68-B5-DB-9F,
17461,5/10/2023 13:41:57,1696513317,-84,-95,100, ac,UNSW Guest ,FC-5B-39-0D-53-AC,
17471,5/10/2023 13:41:57,1696513317,-79,-96,44, a/n,uniwide ,1C-E6-C7-5B-21-7E,
17714,5/10/2023 13:41:57,1696513317,-90,-97,48, ac,eduroam ,84-78-AC-98-48-47,
17733,5/10/2023 13:41:57,1696513317,-92,-97,64, ac,[Hidden SSID] ,A8-9D-21-71-B2-5A,
17800,5/10/2023 13:41:57,1696513317,-80,-80,13, b/g/n,[Hidden SSID] ,8C-85-80-DE-2D-CF,
17834,5/10/2023 13:41:57,1696513317,-90,-97,149, a/n,Global_Students ,1C-E6-C7-3E-17-AD,
17855,5/10/2023 13:41:57,1696513317,-77,-92,36, a/n,eduroam ,1C-E6-C7-3E-5A-8F,
17950,5/10/2023 13:41:57,1696513317,-84,-96,36, a/n,UNSW Guest ,1C-E6-C7-F0-21-3C,
17962,5/10/2023 13:41:57,1696513317,-93,-97,60, ac,Global_Students ,08-CC-68-B5-31-5B,
18063,5/10/2023 13:41:57,1696513317,-78,-94,132, ac,UNSW Guest ,08-CC-68-B5-F4-6C,
18227,5/10/2023 13:41:57,1696513317,-85,-94,44, ac,[Hidden SSID] ,1C-E6-C7-5B-21-72,
18334,5/10/2023 13:41:57,1696513317,-86,-97,132, ac,uniwide ,00-35-1A-3E-32-3E,
18452,5/10/2023 13:41:57,1696513317,-92,-97,56, a/n,[Hidden SSID] ,1C-E6-C7-F0-25-BB,
18526,5/10/2023 13:41:57,1696513317,-90,-97,149, ac,ASUS_66U_5G ,A8-5E-45-9A-D9-94,
18543,5/10/2023 13:41:57,1696513317,-81,-97,52, ac,[Hidden SSID] ,A8-9D-21-85-19-EF,
18744,5/10/2023 13:41:57,1696513317,-88,-93,149, ac,eduroam ,08-CC-68-B4-F3-BF,
1,5/10/2023 13:42:26,1696513346,-80,-89,6, g/n,Global_Students ,08-CC-68-B5-D0-52,
33,5/10/2023 13:42:26,1696513346,-86,-89,6, g/n,UNSW Guest ,00-EA-BD-DB-D1-73,
178,5/10/2023 13:42:26,1696513346,-77,-92,11, g/n,[Hidden SSID] ,A8-9D-21-71-D4-E2,
372,5/10/2023 13:42:26,1696513346,-87,-94,40, ac,uniwide ,54-78-1A-BF-63-D6,
640,5/10/2023 13:42:26,1696513346,-83,-94,60, a/n,[Hidden SSID] ,1C-E6-C7-0D-5C-AA,
659,5/10/2023 13:42:26,1696513346,-80,-83,11, g/n,Global_Students ,54-78-1A-BF-63-D2,
718,5/10/2023 13:42:26,1696513346,-94,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-82-7F,
737,5/10/2023 13:42:26,1696513346,-91,-93,52, ac,[Hidden SSID] ,70-70-8B-04-58-BF,
798,5/10/2023 13:42:26,1696513346,-82,-96,52, ac,eduroam ,A8-9D-21-85-19-EE,
817,5/10/2023 13:42:26,1696513346,-89,-95,149, ac,UNSW Guest ,1C-E6-C7-3E-17-A4,
876,5/10/2023 13:42:26,1696513346,-85,-94,44, ac,Global_Students ,1C-E6-C7-5B-21-75,
1039,5/10/2023 13:42:26,1696513346,-85,-81,6, g/n,uniwide ,1C-E6-C7-5B-21-71,
1365,5/10/2023 13:42:26,1696513346,-91,-92,36, ac,eduroam ,40-CE-24-9C-96-0F,
1410,5/10/2023 13:42:26,1696513346,-86,-94,60, ac,uniwide ,1C-E6-C7-0D-5C-A6,
1605,5/10/2023 13:42:26,1696513346,-70,-95,40, a/n,[Hidden SSID] ,54-78-1A-BF-63-DA,
1611,5/10/2023 13:42:26,1696513346,-90,-92,36, ac,Global_Students ,40-CE-24-9C-96-0B,
1677,5/10/2023 13:42:26,1696513346,-65,-78,1, g/n,UNSW Guest ,08-CC-68-B5-CC-C3,
1733,5/10/2023 13:42:26,1696513346,-77,-78,11, g/n,eduroam ,08-CC-68-B5-C6-A0,
1736,5/10/2023 13:42:26,1696513346,-85,-81,6, g/n,[Hidden SSID] ,08-CC-68-B4-98-00,
1754,5/10/2023 13:42:26,1696513346,-69,-95,132, ac,uniwide ,A8-9D-21-71-D4-EE,
1831,5/10/2023 13:42:26,1696513346,-73,-78,1, g/n,eduroam ,08-CC-68-B5-30-90,
1839,5/10/2023 13:42:26,1696513346,-89,-95,165, ac,uniwide ,08-CC-68-B4-A7-2E,
2007,5/10/2023 13:42:26,1696513346,-91,-94,149, ac,uniwide ,1C-E6-C7-F0-1A-E6,
2101,5/10/2023 13:42:26,1696513346,-92,-94,48, ac,UNSW Guest ,84-78-AC-98-48-44,
2110,5/10/2023 13:42:26,1696513346,-86,-93,149, a/n,UNSW Guest ,1C-E6-C7-3E-17-AC,
2352,5/10/2023 13:42:26,1696513346,-93,-94,112, ac,[Hidden SSID] ,00-EA-BD-DB-D3-1B,
2362,5/10/2023 13:42:26,1696513346,-92,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-F7-3A,
2370,5/10/2023 13:42:26,1696513346,-84,-91,44, a/n,eduroam ,1C-E6-C7-5B-21-7F,
2474,5/10/2023 13:42:26,1696513346,-73,-83,11, g/n,UNSW Guest ,A8-9D-21-71-D4-E3,
2512,5/10/2023 13:42:26,1696513346,-89,-94,64, ac,UNSW Guest ,A8-9D-21-71-B2-5C,
2647,5/10/2023 13:42:26,1696513346,-92,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-F4-6A,
2784,5/10/2023 13:42:26,1696513346,-88,-92,100, ac,[Hidden SSID] ,08-CC-68-B4-AF-AF,
2819,5/10/2023 13:42:26,1696513346,-91,-94,149, ac,eduroam ,1C-E6-C7-F0-1A-E7,
2855,5/10/2023 13:42:26,1696513346,-89,-96,64, ac,uniwide ,08-CC-68-B5-8D-BE,
3011,5/10/2023 13:42:26,1696513346,-91,-94,48, a/n,[Hidden SSID] ,84-78-AC-98-48-4B,
3024,5/10/2023 13:42:26,1696513346,-85,-94,40, a/n,Global_Students ,54-78-1A-BF-63-DD,
3223,5/10/2023 13:42:26,1696513346,-85,-92,11, g/n,uniwide ,08-CC-68-B5-C6-A1,
3248,5/10/2023 13:42:26,1696513346,-85,-95,161, ac,Global_Students ,1C-E6-C7-5B-22-05,
3322,5/10/2023 13:42:26,1696513346,-73,-94,132, ac,[Hidden SSID] ,A8-9D-21-71-D4-ED,
3340,5/10/2023 13:42:26,1696513346,-87,-94,60, ac,Global_Students ,1C-E6-C7-0D-5C-A3,
3631,5/10/2023 13:42:26,1696513346,-88,-95,132, ac,Global_Students ,08-CC-68-B5-D0-5D,
3641,5/10/2023 13:42:26,1696513346,-86,-94,60, ac,eduroam ,1C-E6-C7-0D-5C-A7,
3782,5/10/2023 13:42:26,1696513346,-73,-94,52, ac,[Hidden SSID] ,D0-72-DC-04-B9-0A,
3922,5/10/2023 13:42:26,1696513346,-91,-94,149, a/n,Global_Students ,1C-E6-C7-F0-1A-ED,
4167,5/10/2023 13:42:26,1696513346,-86,-95,161, a/n,eduroam ,1C-E6-C7-5B-22-0F,
4259,5/10/2023 13:42:26,1696513346,-65,-76,3, b/g/n,ConryTech_PrivateNetwork ,B0-A7-B9-BF-1F-84,
4326,5/10/2023 13:42:26,1696513346,-79,-95,132, ac,eduroam ,08-CC-68-B5-30-9F,
4366,5/10/2023 13:42:26,1696513346,-87,-93,52, ac,[Hidden SSID] ,08-CC-68-B4-98-0F,
4393,5/10/2023 13:42:26,1696513346,-87,-94,40, ac,eduroam ,54-78-1A-BF-63-D7,
4484,5/10/2023 13:42:26,1696513346,-92,-94,112, ac,UNSW Guest ,00-EA-BD-DB-D3-1C,
4498,5/10/2023 13:42:26,1696513346,-81,-84,1, g/n,Global_Students ,00-EA-BD-DB-D3-92,
4581,5/10/2023 13:42:26,1696513346,-92,-94,100, ac,[Hidden SSID] ,FC-5B-39-0D-53-AA,
4618,5/10/2023 13:42:26,1696513346,-83,-89,6, ac,503A Meeting Room ,5C-EA-1D-27-D7-2B,
4843,5/10/2023 13:42:26,1696513346,-87,-83,6, g/n,[Hidden SSID] ,08-CC-68-B4-7B-E0,
5029,5/10/2023 13:42:26,1696513346,-92,-92,64, a/n,UNSW Guest ,54-78-1A-BF-62-4C,
5066,5/10/2023 13:42:26,1696513346,-80,-84,1, g/n,Global_Students ,1C-E6-C7-0D-5C-A4,
5069,5/10/2023 13:42:26,1696513346,-87,-83,6, g/n,UNSW Guest ,00-EA-BD-DB-D3-13,
5146,5/10/2023 13:42:26,1696513346,-75,-78,11, g/n,[Hidden SSID] ,1C-E6-C7-3E-5A-84,
5318,5/10/2023 13:42:26,1696513346,-85,-95,161, ac,uniwide ,1C-E6-C7-5B-22-06,
5483,5/10/2023 13:42:26,1696513346,-81,-93,36, a/n,UNSW Guest ,1C-E6-C7-3E-5A-8C,
5488,5/10/2023 13:42:26,1696513346,-75,-87,1, g/n,[Hidden SSID] ,00-EA-BD-E3-BB-94,
5551,5/10/2023 13:42:26,1696513346,-69,-83,11, g/n,uniwide ,D0-72-DC-04-B9-01,
5691,5/10/2023 13:42:26,1696513346,-85,-89,6, g/n,[Hidden SSID] ,00-EA-BD-DB-D1-75,
5700,5/10/2023 13:42:26,1696513346,-85,-94,44, a/n,Global_Students ,1C-E6-C7-5B-21-7D,
5745,5/10/2023 13:42:26,1696513346,-93,-92,36, ac,[Hidden SSID] ,08-CC-68-B5-9A-1B,
5751,5/10/2023 13:42:26,1696513346,-86,-95,132, ac,eduroam ,08-CC-68-B5-F4-6F,
5838,5/10/2023 13:42:26,1696513346,-88,-96,64, ac,[Hidden SSID] ,08-CC-68-B5-8D-BB,
5860,5/10/2023 13:42:26,1696513346,-87,-95,132, ac,Global_Students ,08-CC-68-B5-F4-6B,
5936,5/10/2023 13:42:26,1696513346,-94,-94,100, ac,uniwide ,08-CC-68-B4-AF-AA,
6016,5/10/2023 13:42:26,1696513346,-81,-84,1, g/n,uniwide ,00-EA-BD-DB-D3-91,
6021,5/10/2023 13:42:26,1696513346,-92,-96,64, ac,[Hidden SSID] ,A8-9D-21-71-B2-5D,
6032,5/10/2023 13:42:26,1696513346,-80,-95,132, ac,[Hidden SSID] ,08-CC-68-B5-30-9A,
6148,5/10/2023 13:42:26,1696513346,-91,-95,132, ac,[Hidden SSID] ,08-CC-68-B5-C6-AA,
6197,5/10/2023 13:42:26,1696513346,-85,-83,6, g/n,eduroam ,08-CC-68-B5-D0-50,
6554,5/10/2023 13:42:26,1696513346,-94,-92,100, ac,Global_Students ,FC-5B-39-0D-53-AB,
6773,5/10/2023 13:42:26,1696513346,-79,-95,157, ac,ConryTech_PrivateNetwork_5G ,B0-A7-B9-BF-1F-86,
6782,5/10/2023 13:42:26,1696513346,-90,-93,36, ac,UNSW Guest ,1C-E6-C7-3E-5A-84,
6809,5/10/2023 13:42:26,1696513346,-73,-94,52, ac,Global_Students ,D0-72-DC-04-B9-0B,
6861,5/10/2023 13:42:26,1696513346,-90,-96,60, ac,uniwide ,08-CC-68-B5-35-CE,
6962,5/10/2023 13:42:26,1696513346,-73,-94,52, ac,eduroam ,D0-72-DC-04-B9-0F,
7115,5/10/2023 13:42:26,1696513346,-78,-84,1, g/n,uniwide ,08-CC-68-B5-F4-61,
7129,5/10/2023 13:42:26,1696513346,-86,-95,165, ac,UNSW Guest ,08-CC-68-B4-A7-2C,
7203,5/10/2023 13:42:26,1696513346,-70,-95,132, ac,UNSW Guest ,A8-9D-21-71-D4-EC,
7212,5/10/2023 13:42:26,1696513346,-85,-94,44, ac,eduroam ,1C-E6-C7-5B-21-77,
7241,5/10/2023 13:42:26,1696513346,-94,-92,104, ac,Telstra1B85DF ,D6-35-1D-1B-85-E7,
7250,5/10/2023 13:42:26,1696513346,-87,-83,11, b/g/n,Telstra1B85DF ,D4-35-1D-1B-85-DF,
7310,5/10/2023 13:42:26,1696513346,-79,-84,1, g/n,Global_Students ,08-CC-68-B5-F4-64,
7363,5/10/2023 13:42:26,1696513346,-85,-94,44, ac,uniwide ,1C-E6-C7-5B-21-76,
7380,5/10/2023 13:42:26,1696513346,-83,-78,1, g/n,eduroam ,08-CC-68-B5-F4-60,
7481,5/10/2023 13:42:26,1696513346,-83,-83,2, b/g/n,TP-Link_81BA ,60-32-B1-FD-81-BA,
7539,5/10/2023 13:42:26,1696513346,-82,-96,52, ac,[Hidden SSID] ,A8-9D-21-85-19-EB,
7591,5/10/2023 13:42:26,1696513346,-90,-96,60, ac,[Hidden SSID] ,08-CC-68-B5-35-CD,
7618,5/10/2023 13:42:26,1696513346,-92,-94,161, ac,ClickShare-GoldsteinHall ,F4-6A-DD-39-8D-9B,
7734,5/10/2023 13:42:26,1696513346,-81,-95,157, ac,Optus_53A4BF_5GHz ,48-D2-4F-53-A4-C2,
7751,5/10/2023 13:42:26,1696513346,-83,-91,157, ac,[Hidden SSID] ,4A-D2-4F-53-A4-C3,
7815,5/10/2023 13:42:26,1696513346,-80,-87,1, g/n,[Hidden SSID] ,08-CC-68-B5-CC-C4,
7831,5/10/2023 13:42:26,1696513346,-87,-94,40, ac,Global_Students ,54-78-1A-BF-63-D5,
8003,5/10/2023 13:42:26,1696513346,-79,-83,11, g/n,uniwide ,54-78-1A-BF-63-D1,
8008,5/10/2023 13:42:26,1696513346,-80,-95,132, ac,Global_Students ,08-CC-68-B5-30-9D,
8051,5/10/2023 13:42:26,1696513346,-90,-91,36, a/n,[Hidden SSID] ,1C-E6-C7-3E-5A-8B,
8104,5/10/2023 13:42:26,1696513346,-80,-96,60, a/n,Global_Students ,1C-E6-C7-0D-5C-AB,
8118,5/10/2023 13:42:26,1696513346,-77,-92,11, g/n,[Hidden SSID] ,A8-9D-21-71-D4-E5,
8207,5/10/2023 13:42:26,1696513346,-83,-92,36, ac,eduroam ,08-CC-68-B5-C5-AF,
8231,5/10/2023 13:42:26,1696513346,-82,-92,64, ac,UNSW Guest ,08-CC-68-B5-8D-BC,
8251,5/10/2023 13:42:26,1696513346,-74,-81,6, g/n,uniwide ,08-CC-68-B5-D0-51,
8272,5/10/2023 13:42:26,1696513346,-93,-94,36, ac,UNSW Guest ,08-CC-68-B5-9A-1C,
8440,5/10/2023 13:42:26,1696513346,-84,-87,1, g/n,eduroam ,00-EA-BD-DB-D3-90,
8453,5/10/2023 13:42:26,1696513346,-84,-94,60, a/n,eduroam ,1C-E6-C7-0D-5C-AF,
8458,5/10/2023 13:42:26,1696513346,-83,-81,6, g/n,UNSW Guest ,08-CC-68-B5-35-C3,
8706,5/10/2023 13:42:26,1696513346,-68,-83,11, g/n,eduroam ,D0-72-DC-04-B9-00,
8708,5/10/2023 13:42:26,1696513346,-90,-94,149, ac,Global_Students ,1C-E6-C7-F0-1A-E5,
8814,5/10/2023 13:42:26,1696513346,-79,-84,6, g/n,uniwide ,A8-9D-21-85-19-E5,
8896,5/10/2023 13:42:26,1696513346,-93,-94,112, ac,uniwide ,00-EA-BD-DB-D3-1E,
